Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09981416,0.09990449,0.09963548,0.10033495,0.099692605,0.10021132,0.1006681,0.09974395,0.10022625,0.099769324
1,0.09984525,0.09990745,0.09968464,0.100332804,0.09972911,0.10014609,0.10056689,0.099789955,0.100192115,0.09980683
2,0.09986151,0.099906415,0.09970377,0.10033268,0.09974382,0.10011728,0.1005135,0.09981001,0.1001831,0.0998278
3,0.09987135,0.09990833,0.09971855,0.10033871,0.099754326,0.10009709,0.100463964,0.09982744,0.100177184,0.09984218
4,0.09987737,0.09991116,0.09973117,0.100334674,0.09976272,0.10007928,0.10043838,0.09983766,0.10017399,0.09985361
5,0.0998832,0.099912554,0.09973901,0.10033801,0.09976911,0.10006763,0.10041464,0.099845864,0.10017336,0.09985797
6,0.09988518,0.0999137,0.0997466,0.100338005,0.099775344,0.100059465,0.100393265,0.099852905,0.10017292,0.09986361
7,0.09988869,0.099914536,0.099751376,0.100339085,0.099778265,0.10005599,0.10037709,0.099857315,0.10017186,0.09986659
8,0.09989106,0.09991481,0.099754505,0.10034021,0.09978272,0.10005279,0.1003628,0.099861205,0.100172855,0.09986811
9,0.099892095,0.099918194,0.09976079,0.10034262,0.09978633,0.10004874,0.10034521,0.09986699,0.10017119,0.099868536
10,0.099896684,0.09992047,0.099763274,0.10034246,0.09979144,0.10004744,0.100331806,0.09986975,0.10016818,0.09986849
11,0.099898785,0.09992271,0.09976766,0.10034293,0.09979369,0.10004632,0.10031867,0.09987277,0.10016794,0.09986839
12,0.09990004,0.099925995,0.09977014,0.10034374,0.09979808,0.10004518,0.100305535,0.099875905,0.100166455,0.09986852
13,0.099902086,0.09992742,0.09977193,0.10034584,0.09979969,0.100043505,0.100296445,0.099876605,0.10016883,0.099867664
14,0.09990363,0.09992964,0.09977614,0.10034388,0.099802144,0.10004254,0.100289576,0.099878,0.1001675,0.099866845
