Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09910334,0.099752285,0.09831993,0.101968445,0.09842434,0.10028401,0.10287265,0.098773174,0.10119078,0.099311136
1,0.09929175,0.099665046,0.098444864,0.101874426,0.098570995,0.100373454,0.10238725,0.09889105,0.10117828,0.099322766
2,0.099341154,0.09966201,0.098506816,0.101800695,0.09865136,0.100366086,0.102232866,0.098959245,0.10116144,0.0993185
3,0.0993517,0.09965694,0.09852803,0.101737276,0.09869232,0.10036931,0.10219197,0.0989924,0.10112501,0.09935519
4,0.09935495,0.099624224,0.09852401,0.1016807,0.09870111,0.100357085,0.102223314,0.09900865,0.10113136,0.09939473
5,0.09934242,0.09959682,0.0985066,0.10166293,0.098700844,0.10035112,0.102262005,0.09901305,0.101154044,0.09941019
6,0.09932803,0.099561386,0.09847753,0.10162676,0.09868707,0.100342326,0.102334216,0.09902361,0.10119341,0.09942562
7,0.09931555,0.09952062,0.09845131,0.101588964,0.09867954,0.100355506,0.102380626,0.09903389,0.1012249,0.09944937
8,0.099302396,0.09947435,0.0984146,0.101578735,0.09865973,0.100352034,0.10245897,0.09904519,0.1012587,0.09945547
9,0.099285364,0.09943146,0.09837658,0.101525776,0.098638855,0.10036245,0.10253789,0.099051304,0.10131421,0.0994762
10,0.099265866,0.09938595,0.09834055,0.10151136,0.09861521,0.10036527,0.10260127,0.099049725,0.101379484,0.09948539
11,0.099256724,0.099342145,0.09830316,0.101496905,0.09859259,0.10037527,0.10264068,0.09905735,0.10143143,0.09950391
12,0.09924007,0.09929842,0.09826157,0.10147291,0.09856576,0.100393444,0.10268311,0.09906744,0.10149319,0.09952397
13,0.099217124,0.09924676,0.098216146,0.101431966,0.09853911,0.10043342,0.10271679,0.09908093,0.1015698,0.09954801
14,0.099199384,0.0992114,0.09818869,0.101383135,0.09852548,0.10045181,0.10274246,0.09909213,0.101628445,0.09957717
