Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.109597586,0.1098997,0.10820574,0.11229203,0.0,0.11157123,0.11500166,0.10971635,0.11307083,0.11064482
1,0.10976708,0.11066821,0.10832743,0.111428924,0.109734744,0.11122316,0.11539335,0.10948653,0.11397052,0.0
2,0.110421464,0.110270746,0.10856729,0.0,0.10989526,0.11149441,0.11526661,0.11018401,0.113200106,0.11069991
3,0.110236414,0.11059956,0.0,0.11296623,0.10986348,0.1101125,0.11448248,0.10971434,0.11191702,0.11010805
4,0.11016088,0.11114832,0.109538384,0.1128375,0.11050093,0.1108228,0.0,0.11003031,0.11271575,0.112245224
5,0.11071288,0.0,0.11018005,0.111608915,0.11096876,0.11047211,0.11437141,0.109297276,0.11199679,0.110391855
6,0.11058918,0.11114829,0.10915741,0.11199476,0.11018008,0.111193456,0.113749474,0.11040989,0.0,0.11157749
7,0.10982869,0.109589666,0.108323075,0.11215452,0.109662406,0.11177136,0.11305963,0.0,0.11484848,0.110762306
8,0.0,0.1111628,0.109240405,0.114036866,0.11027368,0.11022808,0.11283711,0.11019101,0.11230295,0.10972698
9,0.11000775,0.1103154,0.108717054,0.11255882,0.11011421,0.0,0.11239298,0.11141184,0.11311616,0.111365706
10,0.11118985,0.11196882,0.109714255,0.11218962,0.0,0.111121945,0.113266096,0.10990449,0.11088125,0.10976361
11,0.10978506,0.11017185,0.10881407,0.11072028,0.11002968,0.11177486,0.116130866,0.10962497,0.112948455,0.0
12,0.11153074,0.11129051,0.109406546,0.0,0.11082674,0.11173849,0.11313409,0.11042539,0.111395225,0.11025211
13,0.110986546,0.113104634,0.0,0.11253178,0.11147521,0.10951184,0.11284672,0.10920155,0.110508524,0.10983318
14,0.11030544,0.111311704,0.11018332,0.1125656,0.11048908,0.11011383,0.0,0.109804004,0.11183666,0.11339039
