Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09868653,0.09895615,0.09766849,0.10101741,0.09842821,0.100031964,0.10466365,0.09887857,0.101797886,0.09987106
1,0.09911933,0.09966438,0.098077886,0.10056486,0.09888792,0.100052685,0.10359087,0.09899296,0.10157023,0.09947901
2,0.09929415,0.099524915,0.09805041,0.10114127,0.09948288,0.09982371,0.103005715,0.09950403,0.100987345,0.09918551
3,0.101296835,0.1002683,0.098201275,0.10150871,0.099625945,0.09926151,0.1019764,0.09867679,0.100529365,0.09865472
4,0.0993835,0.09921358,0.0974896,0.1007057,0.09848585,0.09967274,0.1015625,0.09888545,0.10506985,0.09953115
5,0.09859284,0.098825395,0.09759841,0.10035569,0.09833995,0.09886489,0.108887464,0.09799763,0.10085567,0.099682204
6,0.09975833,0.10190993,0.0987474,0.100438155,0.09968127,0.09920376,0.102631435,0.098085485,0.10064758,0.09889668
7,0.09856905,0.099240355,0.09760119,0.099776946,0.0985885,0.099619724,0.10441581,0.09818802,0.10165792,0.10234257
8,0.09990712,0.09958504,0.097994596,0.10287851,0.09905625,0.099989735,0.1021628,0.09888412,0.10033258,0.09920908
9,0.098253265,0.09847971,0.09722563,0.10169485,0.098422304,0.10378524,0.101193845,0.09993527,0.10111986,0.09988996
10,0.09970692,0.10166891,0.09891657,0.10121948,0.099978246,0.0994667,0.102536894,0.09802825,0.09967608,0.09880179
11,0.09882523,0.09861597,0.09757447,0.10170118,0.09902076,0.10246661,0.10099473,0.10066613,0.10097257,0.09916225
12,0.09944004,0.10155155,0.099220656,0.101552755,0.10223801,0.09921593,0.10104701,0.098807715,0.09880799,0.098118216
13,0.10366718,0.10147968,0.098726995,0.101966865,0.10038537,0.09845057,0.10046826,0.09797491,0.099071264,0.09780872
14,0.09906123,0.09846192,0.09718745,0.10044462,0.09807583,0.09933649,0.10007686,0.09844243,0.10940068,0.09951244
