Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.098428324,0.0988673,0.09750731,0.10137736,0.09819938,0.10119844,0.1044969,0.09902874,0.10085904,0.100037105
1,0.09886718,0.09855531,0.09737649,0.10136129,0.09805212,0.101149455,0.10358383,0.09945476,0.10175992,0.09983956
2,0.10000665,0.098871544,0.09749199,0.10169504,0.09852992,0.100719675,0.10283787,0.09909279,0.10138101,0.09937353
3,0.09983179,0.0993686,0.09761088,0.10235433,0.09838365,0.09998036,0.10341418,0.09875306,0.10104977,0.09925333
4,0.10004694,0.101420306,0.09853758,0.10121387,0.0998306,0.099243306,0.103026904,0.09808374,0.10001933,0.0985773
5,0.098672986,0.099168725,0.09769416,0.10039971,0.09869105,0.100026846,0.10423385,0.098316655,0.10123499,0.10156098
6,0.09904838,0.09852544,0.09745278,0.10145556,0.09872502,0.10157902,0.10183925,0.10021619,0.10158711,0.09957117
7,0.09876168,0.098195866,0.09707827,0.10118529,0.09777484,0.09985295,0.1013779,0.09915785,0.10676766,0.09984766
8,0.09797798,0.09817893,0.097271964,0.10028891,0.097509764,0.09830421,0.11288973,0.097722135,0.10010209,0.099754296
9,0.09953244,0.1006093,0.09859969,0.10116984,0.10074886,0.0992978,0.1031857,0.098625086,0.09961706,0.09861406
10,0.0982214,0.09881263,0.09743614,0.100630574,0.099148594,0.10499901,0.10084762,0.09981904,0.10063788,0.099447116
11,0.10293529,0.10060313,0.0983317,0.10227456,0.09966116,0.099078976,0.101292044,0.098218724,0.09948279,0.098121576
12,0.10054873,0.09982662,0.09794312,0.10480296,0.099185266,0.09979716,0.10149364,0.09875158,0.09934116,0.09830977
13,0.10008097,0.1041982,0.099320255,0.101276726,0.10055521,0.098845534,0.100859515,0.0977228,0.0991346,0.09800613
14,0.09996149,0.10430937,0.09977501,0.10084211,0.10160862,0.09820432,0.101691835,0.0973743,0.09838878,0.09784416
