Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09853637,0.09908299,0.09768534,0.101041764,0.09834129,0.10060365,0.10488821,0.09872339,0.10096891,0.100128025
1,0.09826427,0.09822516,0.09721454,0.10055441,0.0979901,0.10027669,0.10690786,0.09892241,0.101611555,0.10003292
2,0.098922774,0.09930258,0.09753251,0.10063635,0.09851364,0.09999009,0.10370456,0.09876906,0.10304452,0.09958385
3,0.09934692,0.100006446,0.098041855,0.100670926,0.09923237,0.09968149,0.10419278,0.0983726,0.101233296,0.09922134
4,0.101205565,0.10017862,0.0980858,0.10122122,0.09932057,0.09935523,0.10254875,0.098486185,0.10090588,0.098692186
5,0.10031496,0.09969037,0.09784986,0.10235984,0.09921103,0.10000588,0.102676496,0.09864926,0.10048093,0.098761186
6,0.09823678,0.09824526,0.09703146,0.100905426,0.09792043,0.099825256,0.104743205,0.09820735,0.10201761,0.1028672
7,0.099714674,0.10230311,0.09869212,0.10104103,0.099722676,0.099428296,0.102216974,0.09800084,0.10016552,0.098714694
8,0.09832989,0.09940189,0.09747265,0.10109518,0.098803155,0.103311844,0.101389356,0.09914854,0.10136114,0.099686384
9,0.09859882,0.09844303,0.097155295,0.10155002,0.09865073,0.102760196,0.101714656,0.1002043,0.10143651,0.09948643
10,0.09744368,0.0980485,0.09693378,0.09998434,0.09740347,0.09820509,0.115844876,0.09746644,0.099202015,0.09946783
11,0.099269986,0.10069551,0.098399915,0.1013354,0.10118472,0.0992931,0.10336045,0.0985767,0.09925986,0.09862435
12,0.0986603,0.098438196,0.09695425,0.100442044,0.09814771,0.099303976,0.100840144,0.09840856,0.10924881,0.09955584
13,0.09965509,0.10256524,0.09930908,0.100608215,0.10084759,0.09854658,0.10253835,0.09768719,0.099694,0.09854877
14,0.10359437,0.10124478,0.09860182,0.10175968,0.100130595,0.098252214,0.10089176,0.09782397,0.09965306,0.0980478
