Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.0985127,0.09874872,0.0974625,0.10122899,0.09806951,0.10072868,0.104676045,0.09883162,0.101615295,0.10012576
1,0.09831814,0.09823885,0.09708003,0.10083968,0.09789077,0.103743404,0.10297422,0.099377304,0.10150181,0.1000357
2,0.09885959,0.0986701,0.097367264,0.101254135,0.09808048,0.10118392,0.10400651,0.09896304,0.10162226,0.099992685
3,0.09849528,0.099130906,0.09737391,0.10030026,0.09828678,0.100924335,0.10414145,0.0984867,0.10163294,0.10122752
4,0.098015554,0.09829995,0.09698848,0.100369915,0.098091036,0.10541743,0.10193214,0.099461496,0.10123316,0.10019079
5,0.097981974,0.09841004,0.09714399,0.10020064,0.09770167,0.099400006,0.11086229,0.09782995,0.10035709,0.100112356
6,0.09917481,0.10038411,0.09817827,0.10082048,0.09915612,0.09982661,0.10479769,0.09810044,0.100460194,0.099101245
7,0.09909177,0.100854136,0.09860088,0.1006364,0.10114007,0.09999664,0.102779716,0.09851032,0.09963871,0.098751456
8,0.09790267,0.09859066,0.0972523,0.099554636,0.09838899,0.10016238,0.1050665,0.09799502,0.10088152,0.1042053
9,0.0995118,0.09964872,0.09789686,0.10287167,0.09927,0.100506544,0.102471255,0.09874703,0.10005086,0.099025354
10,0.09749903,0.09777549,0.09669939,0.1015448,0.09822667,0.10844323,0.100311436,0.09998552,0.10001936,0.09949509
11,0.09716164,0.09734261,0.09646044,0.10075985,0.09793411,0.112265155,0.09974449,0.099742725,0.099411316,0.09917755
12,0.099298455,0.10386175,0.09919987,0.10053383,0.10056877,0.09968892,0.10116586,0.09788276,0.09945998,0.09833981
13,0.097715035,0.09837659,0.09722105,0.099582076,0.0979537,0.10021078,0.104368605,0.09782288,0.100773014,0.105976135
14,0.097035676,0.09743725,0.0965296,0.100266896,0.097931065,0.11332785,0.099512935,0.09941449,0.099311635,0.099232614
