Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09844184,0.09875558,0.09744684,0.10144635,0.09818215,0.10074038,0.10385135,0.099243514,0.10214535,0.09974661
1,0.098831624,0.09834657,0.0972019,0.10269426,0.0977904,0.10041458,0.10377729,0.099301815,0.10194638,0.09969521
2,0.09931179,0.09870521,0.097156405,0.10131973,0.09785352,0.09991443,0.10294688,0.09867341,0.10456107,0.09955758
3,0.09991187,0.098914295,0.097437605,0.101733245,0.09863674,0.0999452,0.10388519,0.09886309,0.10146645,0.099206306
4,0.09886752,0.09901504,0.09730537,0.10033035,0.09857853,0.10002729,0.10404169,0.09837202,0.10223608,0.10122612
5,0.09973967,0.101888776,0.09851245,0.100750454,0.09969719,0.09949439,0.102415375,0.09806051,0.10048755,0.098953635
6,0.09841392,0.099559054,0.097541034,0.10009402,0.09865547,0.098416,0.11057874,0.09750397,0.09983462,0.09940302
7,0.098912135,0.098595016,0.09720077,0.10086734,0.09882612,0.10121396,0.102926046,0.10004694,0.10187802,0.09953366
8,0.09810982,0.0983964,0.097008385,0.10100812,0.09846354,0.10457509,0.101450965,0.10011292,0.101245955,0.09962877
9,0.09971113,0.10194224,0.09878659,0.10093972,0.10034043,0.09929131,0.10295941,0.0979519,0.099621885,0.09845523
10,0.09981037,0.09991285,0.09791545,0.10500491,0.0992803,0.10014085,0.1015958,0.09883527,0.09940897,0.09809519
11,0.103238866,0.10046375,0.0981033,0.103485115,0.09941488,0.098709896,0.10119187,0.09815728,0.0993678,0.09786719
12,0.09884935,0.098242536,0.09681295,0.10062036,0.09767155,0.099350244,0.10053897,0.09841747,0.11010267,0.09939372
13,0.10007616,0.10130715,0.09872997,0.10143315,0.10169903,0.09914623,0.10189671,0.09819664,0.09935829,0.09815666
14,0.09800401,0.09846526,0.097172484,0.099565074,0.09828675,0.099659115,0.10424718,0.09787337,0.10143141,0.105295315
