Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09866796,0.0989802,0.097613856,0.101136,0.0984813,0.1000168,0.10502799,0.098774,0.10156503,0.09973674
1,0.09904347,0.09964333,0.09782131,0.10031719,0.09899674,0.10041653,0.10400588,0.09879051,0.10131169,0.09965328
2,0.09864451,0.09876076,0.09735957,0.100672446,0.098091304,0.10000461,0.1030013,0.098778084,0.10425549,0.10043206
3,0.09841818,0.09848227,0.09719995,0.10079246,0.098156504,0.10228495,0.10216997,0.09910851,0.10312828,0.10025886
4,0.09861568,0.09805209,0.097107664,0.10051909,0.098388985,0.10241769,0.10204373,0.10001773,0.10286505,0.09997228
5,0.098232955,0.09802554,0.09718064,0.100569144,0.09770964,0.09908146,0.11050836,0.09824455,0.10040024,0.100047424
6,0.09932937,0.1000371,0.09809536,0.101304375,0.09890587,0.09986006,0.103490934,0.09855893,0.1010743,0.099343754
7,0.10165911,0.100293994,0.098112494,0.10180225,0.09942489,0.09917724,0.101964526,0.09848364,0.100422025,0.098659806
8,0.10030505,0.09971736,0.09788385,0.10338883,0.09909061,0.099921405,0.102025405,0.09876508,0.1001386,0.098763704
9,0.10013878,0.10104449,0.09854952,0.102199264,0.09964405,0.098808914,0.10312239,0.098207965,0.09971668,0.09856787
10,0.099825874,0.10180849,0.09923717,0.10124375,0.102212824,0.09891314,0.101583935,0.098264486,0.09876241,0.09814791
11,0.09814396,0.09875903,0.09749285,0.09999646,0.09852406,0.09984662,0.10411928,0.09803088,0.10094474,0.10414204
12,0.09839944,0.09801065,0.09701012,0.10039742,0.0977226,0.09943748,0.100504555,0.098391406,0.10969067,0.10043565
13,0.097805604,0.098027624,0.097092666,0.100834064,0.09840342,0.10658213,0.10031504,0.09981701,0.101243414,0.09987896
14,0.09850421,0.097824134,0.097166754,0.101507135,0.09860526,0.103599444,0.10131362,0.1008494,0.10115996,0.09946995
