Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.10956759,0.11001539,0.10832294,0.11280231,0.10899286,0.11202373,0.11727515,0.109674826,0.0,0.111325294
1,0.10936419,0.10869035,0.1076873,0.11257928,0.10830922,0.11135813,0.11583245,0.10958181,0.11659722,0.0
2,0.10921475,0.10838047,0.10758087,0.11208192,0.108405605,0.11234308,0.11455606,0.0,0.11565419,0.11178311
3,0.10990175,0.10934667,0.10863141,0.11369887,0.10899503,0.111894526,0.0,0.11070603,0.11364468,0.1131811
4,0.109665334,0.10923031,0.0,0.112326495,0.108842455,0.11075209,0.11653155,0.109833315,0.11208766,0.11073075
5,0.11053088,0.0,0.11017623,0.11234483,0.110918134,0.1108425,0.113619514,0.10937471,0.11203024,0.110162884
6,0.10980021,0.110729665,0.10891077,0.11208488,0.11033017,0.0,0.1127806,0.11106593,0.11314286,0.11115487
7,0.11121222,0.11088934,0.1092508,0.0,0.11057684,0.112571634,0.11341195,0.11057033,0.11146024,0.110056475
8,0.0,0.11105207,0.10920222,0.11513915,0.11025235,0.11060173,0.11234268,0.11028325,0.1114435,0.1096829
9,0.11192843,0.11209928,0.10979458,0.11295643,0.0,0.11060886,0.112582654,0.109954976,0.11047578,0.10959902
10,0.11114495,0.11063471,0.10906282,0.112749115,0.11024091,0.11159497,0.11224741,0.110727765,0.0,0.111597374
11,0.10978072,0.10943732,0.10863844,0.1114861,0.10932925,0.11145452,0.115724035,0.10965573,0.1144939,0.0
12,0.110016875,0.108781755,0.10812341,0.112851076,0.10977762,0.113861434,0.112430185,0.0,0.1130552,0.11110234
13,0.11021551,0.11051578,0.109533735,0.11370063,0.10999081,0.11043783,0.0,0.11035437,0.111924686,0.11332664
14,0.111002326,0.11266238,0.0,0.11184624,0.111271486,0.109437756,0.11446194,0.109097496,0.1102759,0.10994424
