Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09842788,0.09896671,0.09771098,0.10148433,0.098373346,0.09995995,0.10485319,0.09893932,0.101250514,0.10003385
1,0.09881498,0.098514676,0.09740594,0.10268095,0.09799429,0.100096755,0.103690386,0.099309646,0.10193435,0.09955806
2,0.100284554,0.099255264,0.097761124,0.10160729,0.098639965,0.09974631,0.103586644,0.09873435,0.10113924,0.09924524
3,0.09923228,0.0991769,0.09761164,0.100998074,0.0983082,0.099616766,0.102151304,0.098651744,0.10461536,0.099637754
4,0.0987382,0.09878577,0.09747809,0.101119176,0.0983084,0.10150223,0.10219438,0.099020496,0.102978,0.09987529
5,0.098407984,0.09836464,0.09739179,0.10065189,0.09780117,0.09953898,0.10962764,0.098078966,0.10047195,0.099664904
6,0.09888979,0.09802779,0.09717336,0.10113331,0.098259516,0.10198874,0.10286154,0.1000122,0.10215252,0.09950125
7,0.09799899,0.09773419,0.09703426,0.10016255,0.0976281,0.10052126,0.10463228,0.09870499,0.10196548,0.10361795
8,0.099695385,0.10111278,0.09869195,0.10113537,0.09947535,0.09974561,0.102185145,0.098260954,0.10053625,0.09916129
9,0.09950648,0.101460844,0.0988666,0.101018496,0.10143593,0.09951631,0.101552755,0.09851954,0.09951774,0.09860543
10,0.09994051,0.10027084,0.09812134,0.104408264,0.09958523,0.09991343,0.101385735,0.09881712,0.099322945,0.09823459
11,0.10301135,0.10050886,0.09825534,0.103431,0.09945393,0.09857703,0.10096751,0.09829681,0.09947745,0.09802057
12,0.10055863,0.102902226,0.09943594,0.10107921,0.10084172,0.09837611,0.10218376,0.09763866,0.09888528,0.098098315
13,0.0988679,0.098496996,0.097276635,0.10066823,0.09796225,0.09919436,0.10002783,0.09834873,0.10967671,0.09948029
14,0.09808791,0.09825982,0.09727826,0.10092082,0.0986095,0.10636536,0.10007122,0.09986081,0.10113285,0.09941349
