Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.0986198,0.09881711,0.097570606,0.10122181,0.09821313,0.10048481,0.10512272,0.09883126,0.10134123,0.09977737
1,0.09846338,0.09837141,0.097370505,0.10092167,0.097821966,0.100231834,0.10536247,0.098944806,0.102568224,0.09994372
2,0.09868985,0.09819103,0.09736509,0.10112668,0.097935535,0.10014878,0.10533568,0.09888006,0.10255671,0.09977053
3,0.09831926,0.09863365,0.09747079,0.10018769,0.09796796,0.099890485,0.10454163,0.0984243,0.10292194,0.10164229
4,0.0993255,0.099015765,0.09778309,0.10202658,0.0985878,0.10037706,0.10280674,0.09908543,0.10135611,0.09963594
5,0.09931415,0.10090821,0.09837311,0.1019728,0.0990259,0.09983391,0.102133565,0.09851721,0.10089177,0.09902935
6,0.0993572,0.10138805,0.09868065,0.1013212,0.100940585,0.09913895,0.10207864,0.098375306,0.10005226,0.09866711
7,0.10230269,0.10130967,0.098451756,0.10185133,0.09995771,0.098782584,0.101231076,0.09811123,0.099765524,0.0982364
8,0.09949364,0.099091135,0.09753047,0.10160178,0.099231035,0.100940704,0.10162643,0.099993505,0.1013082,0.09918306
9,0.0983092,0.09870855,0.097330816,0.10136119,0.09870941,0.10457679,0.10078543,0.10009004,0.10066333,0.09946513
10,0.09781068,0.09855388,0.09725576,0.09984938,0.09784978,0.09871755,0.1140208,0.097578764,0.09900089,0.09936252
11,0.09861538,0.09820078,0.09698178,0.10055856,0.09771468,0.09971898,0.10120846,0.09862433,0.10873492,0.09964218
12,0.09983509,0.10178965,0.09899953,0.10090542,0.09998887,0.09904848,0.102654226,0.09785587,0.10023711,0.098685846
13,0.09789509,0.09844366,0.097481295,0.099425115,0.09800328,0.099902615,0.10376324,0.098002106,0.1018454,0.10523818
14,0.099597774,0.09958445,0.0980344,0.10501607,0.09891227,0.10012291,0.10128495,0.09885973,0.099637784,0.098949656
