Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09842408,0.09853363,0.09744856,0.101114355,0.098110534,0.100915365,0.10509421,0.09892392,0.10127231,0.100162946
1,0.098530635,0.0982754,0.097195506,0.10100754,0.09817043,0.10162275,0.10426119,0.099450536,0.10152189,0.09996405
2,0.09932959,0.10153069,0.0984197,0.10050795,0.09971394,0.10001245,0.10266897,0.098283224,0.10050162,0.09903179
3,0.09861797,0.099936344,0.09775377,0.10017194,0.099191494,0.10027806,0.10406962,0.09826337,0.100841776,0.100875646
4,0.09953597,0.09976508,0.09795704,0.10216592,0.09924781,0.10040535,0.10249431,0.09866917,0.10041356,0.099345624
5,0.09797458,0.0988164,0.09735469,0.101206966,0.098038614,0.09857304,0.11053823,0.0979206,0.09982899,0.0997481
6,0.09849839,0.098155335,0.09710787,0.1020373,0.0985963,0.10190724,0.10287915,0.10051947,0.10077858,0.09952024
7,0.09922523,0.10144554,0.09881626,0.10174799,0.10001952,0.09909409,0.10313413,0.09842274,0.099537246,0.09855737
8,0.10243553,0.10087046,0.098634824,0.10249167,0.09984008,0.09882352,0.10106655,0.09828206,0.09935359,0.09820151
9,0.0990565,0.09850438,0.09724505,0.100766234,0.09802881,0.09947055,0.100535676,0.098650984,0.10814745,0.09959423
10,0.098071165,0.09831297,0.09726289,0.101035476,0.09852441,0.10608162,0.10022651,0.09999276,0.10095816,0.09953402
11,0.09972123,0.1013523,0.09898569,0.1011976,0.10164463,0.099837266,0.10137604,0.09845296,0.09904002,0.09839222
12,0.099314585,0.107212625,0.10007621,0.099686116,0.10193661,0.09851047,0.09986367,0.09713722,0.0986494,0.09761306
13,0.09801749,0.0988751,0.09763465,0.09938282,0.09847428,0.09964595,0.10418318,0.0977845,0.10055975,0.10544239
14,0.099779226,0.100199595,0.09829031,0.10519059,0.09954365,0.099693395,0.10102633,0.09865938,0.098966874,0.09865063
