Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09880866,0.099027164,0.09777175,0.100380726,0.09850081,0.10055975,0.10456337,0.098382674,0.10188328,0.1001218
1,0.10009074,0.1003156,0.09836891,0.100214876,0.098994434,0.099689074,0.10336379,0.09828554,0.1012497,0.09942726
2,0.10038936,0.10137664,0.098620825,0.10040537,0.09945877,0.09948664,0.102603115,0.0980566,0.10058319,0.099019445
3,0.09890799,0.100117646,0.09789808,0.10045462,0.09888571,0.10079275,0.102879666,0.09865299,0.101683415,0.09972717
4,0.09919805,0.09905847,0.09756655,0.10039524,0.09885071,0.10166863,0.10226609,0.09958018,0.10184793,0.09956818
5,0.09889879,0.0986018,0.09725628,0.10100664,0.098091826,0.10011299,0.101745896,0.09925026,0.10523756,0.099797845
6,0.099757396,0.100304395,0.098274894,0.10105426,0.10012637,0.09974047,0.10217288,0.09892404,0.10080577,0.0988394
7,0.0983432,0.099476784,0.09777094,0.10004469,0.0987832,0.09866284,0.10994531,0.09785495,0.09964493,0.099473156
8,0.09824753,0.09850298,0.09731604,0.099496335,0.09834229,0.09987672,0.10519062,0.09833084,0.10159242,0.1031042
9,0.09972801,0.099449225,0.09791153,0.10316241,0.09897426,0.10002082,0.10272031,0.09890932,0.10006313,0.09906099
10,0.099714935,0.10159315,0.098887965,0.10177442,0.10008559,0.09876478,0.102886215,0.09812126,0.09948169,0.098689914
11,0.10331744,0.10105126,0.09869531,0.102115184,0.09986152,0.09837307,0.1009016,0.09808708,0.099449754,0.09814773
12,0.10004599,0.10547839,0.099857986,0.100156136,0.10116405,0.0984387,0.10064825,0.09734107,0.09896086,0.09790843
13,0.09839399,0.09911088,0.0976367,0.100947514,0.099217445,0.105007835,0.10032968,0.0997178,0.10034944,0.09928862
14,0.09914459,0.098517805,0.09753551,0.10185069,0.09908692,0.102849126,0.101018645,0.10077361,0.10027802,0.09894514
