Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.0985896,0.098805234,0.097704396,0.100939654,0.09833656,0.10087368,0.10506386,0.098894544,0.10083866,0.099953756
1,0.09870363,0.09854911,0.097415395,0.10103912,0.098181084,0.10127246,0.104513586,0.099071674,0.10131262,0.09994119
2,0.09923305,0.100036666,0.09814105,0.10064639,0.099489845,0.10021917,0.103467196,0.09877358,0.1007196,0.09927331
3,0.09894787,0.099384055,0.097596034,0.10068442,0.09864823,0.100024514,0.10259516,0.09877162,0.103762545,0.09958553
4,0.098754205,0.09855226,0.09729802,0.10071207,0.09875452,0.101270765,0.1021315,0.09977536,0.103164144,0.09958719
5,0.09938807,0.099043846,0.09756122,0.103540696,0.09881177,0.10036033,0.10241166,0.099472076,0.1005748,0.09883559
6,0.10134101,0.099513166,0.09771601,0.103466645,0.09890036,0.09920949,0.101908356,0.0987845,0.10061423,0.098546274
7,0.098611146,0.09860841,0.09725595,0.10078372,0.098231845,0.098461434,0.11091104,0.097867236,0.09986142,0.09940775
8,0.09823269,0.0982001,0.09700129,0.100248665,0.09807022,0.09989949,0.10548837,0.09829027,0.10134494,0.103224084
9,0.09976037,0.1024199,0.09877137,0.10083279,0.09996225,0.0992333,0.10219462,0.09786247,0.100082316,0.09888058
10,0.09810804,0.09877513,0.09722234,0.10108837,0.098879546,0.10545369,0.10059461,0.09977029,0.100472726,0.099635266
11,0.09975207,0.10230787,0.09907869,0.10087851,0.100442134,0.09925196,0.10257837,0.09778421,0.09935067,0.09857537
12,0.099424124,0.1025065,0.09940586,0.10070863,0.103186235,0.09918398,0.1010977,0.09793347,0.098519884,0.09803368
13,0.098576166,0.09854941,0.0971181,0.10040536,0.09820499,0.099423915,0.10016272,0.098415904,0.109585814,0.09955764
14,0.098694764,0.09826453,0.0972566,0.10162532,0.099051505,0.10264998,0.10085719,0.100822434,0.10161071,0.099166766
