Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.098616734,0.09882024,0.097504415,0.10111335,0.098076545,0.10058507,0.104655005,0.09884446,0.1017507,0.1000334
1,0.09997777,0.099193305,0.09760448,0.100958556,0.09843385,0.10009283,0.10379462,0.09888565,0.10155553,0.09950336
2,0.09997552,0.09912689,0.09753722,0.102081,0.098317504,0.09973434,0.10422303,0.09875136,0.101170644,0.09908243
3,0.09895427,0.099149,0.097397186,0.10093516,0.098115794,0.09953578,0.102455415,0.098635405,0.10515482,0.09966711
4,0.09979914,0.099865176,0.09808667,0.101290435,0.09952369,0.099439725,0.1031593,0.098629236,0.10120429,0.099002175
5,0.098719425,0.0988426,0.09716631,0.10025337,0.09816719,0.09931793,0.10121211,0.09845053,0.1082574,0.09961311
6,0.09888334,0.09840745,0.09715814,0.10099406,0.09849986,0.10073233,0.10213225,0.09980151,0.10371719,0.09967388
7,0.09809597,0.09766665,0.0965145,0.10018585,0.097300306,0.09918426,0.1003858,0.09853659,0.1125975,0.099532545
8,0.09822456,0.098199025,0.09699831,0.100797825,0.09813877,0.10362486,0.101534784,0.09961621,0.10324052,0.09962508
9,0.09785575,0.09790981,0.096778974,0.1003413,0.09809189,0.10683408,0.10092856,0.0997838,0.101947285,0.09952856
10,0.10214126,0.09964454,0.097737394,0.1023511,0.09900656,0.09972723,0.10155202,0.09849672,0.1006932,0.09864996
11,0.10013544,0.09928824,0.09752498,0.1046569,0.098847784,0.1003214,0.101581536,0.09892014,0.10013435,0.09858925
12,0.10024203,0.101071306,0.09851812,0.1024489,0.09966762,0.099052876,0.10254594,0.098049484,0.09982417,0.098579414
13,0.09810262,0.09773093,0.09648948,0.09992896,0.097155415,0.09894921,0.09954337,0.09792182,0.11504539,0.09913271
14,0.09984115,0.100893065,0.09871869,0.101651534,0.10147802,0.09929456,0.10149132,0.098363176,0.09993034,0.09833818
