Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09869637,0.09879934,0.097638875,0.10134341,0.098258495,0.100480735,0.10399537,0.099199265,0.10172684,0.099861294
1,0.0984684,0.09838418,0.09721373,0.101775736,0.09774738,0.10012141,0.10589689,0.09889784,0.10181445,0.09967986
2,0.09879427,0.09859498,0.097387254,0.10151238,0.09792789,0.100419216,0.10520697,0.098905064,0.101650305,0.09960192
3,0.09916503,0.10039419,0.0980469,0.10116552,0.09948449,0.09968461,0.10387746,0.098654754,0.10068737,0.09883964
4,0.09841779,0.09934218,0.09737163,0.10028445,0.09875507,0.09988574,0.10494152,0.09830616,0.10161843,0.10107685
5,0.09925431,0.101631336,0.09865851,0.10078025,0.10020541,0.09924795,0.10354584,0.09793864,0.09997609,0.09876166
6,0.0985914,0.09894672,0.09743925,0.10125344,0.09902581,0.10125078,0.10226955,0.10009239,0.10183317,0.09929744
7,0.0983089,0.09830931,0.0969862,0.100963846,0.09790884,0.09982113,0.1014742,0.09915066,0.10750331,0.09957358
8,0.09784308,0.098437384,0.09711137,0.101047255,0.098268725,0.104741454,0.10096093,0.099759854,0.10232641,0.09950338
9,0.101787895,0.100113876,0.09796534,0.1024417,0.099221975,0.09959151,0.10160564,0.09839314,0.10047042,0.09840844
10,0.099996425,0.09965672,0.097681075,0.10487792,0.09899064,0.10027938,0.10157958,0.09884678,0.09980799,0.09828348
11,0.097505175,0.09796809,0.096783735,0.10056108,0.097262636,0.0977721,0.11660537,0.09735415,0.099043,0.09914468
12,0.09966196,0.103604056,0.09899143,0.100951985,0.10016449,0.09919068,0.10183503,0.09771628,0.09964982,0.09823433
13,0.09942842,0.10233765,0.09885499,0.10128356,0.10267957,0.09898155,0.10181648,0.09810637,0.09855953,0.09795182
14,0.09794631,0.09872413,0.09712459,0.09980107,0.098460756,0.099482246,0.105340116,0.09784395,0.100768685,0.104508124
