Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.100090966,0.100040436,0.09970286,0.09963171,0.09974706,0.10019176,0.10081982,0.09960659,0.10028702,0.09988159
1,0.10000417,0.099985786,0.09971937,0.09982494,0.0997587,0.100159094,0.10069235,0.099669226,0.10029396,0.0998924
2,0.09995371,0.09995293,0.09972283,0.099970564,0.099759765,0.100137666,0.100612655,0.09971228,0.10028432,0.09989362
3,0.099921726,0.099928096,0.099722296,0.100080505,0.09975626,0.100121915,0.10055409,0.09974824,0.100272246,0.09989479
4,0.09989897,0.09990972,0.09972202,0.1001587,0.09975479,0.100108005,0.100513116,0.09977628,0.1002621,0.099897146
5,0.09988369,0.09989849,0.099723674,0.10021948,0.099755436,0.100098856,0.10048182,0.09979954,0.10024457,0.09989437
6,0.09987416,0.099891864,0.09972555,0.10026343,0.09975833,0.10009333,0.10045205,0.0998178,0.100228064,0.09989406
7,0.09986768,0.09988845,0.09973088,0.10029223,0.09976167,0.10008725,0.10043125,0.09983276,0.10021547,0.099893525
8,0.099862814,0.099885106,0.09973549,0.100315966,0.09976477,0.10008264,0.10041217,0.099846125,0.10019791,0.09989435
9,0.099861346,0.09988469,0.099739194,0.10033325,0.09976923,0.10007995,0.10039676,0.099855885,0.10018731,0.09989191
10,0.09985999,0.09988706,0.099745154,0.10034663,0.09977384,0.100074485,0.100380175,0.099866025,0.10017842,0.09989052
11,0.099860735,0.09989066,0.09974933,0.100353174,0.099778295,0.10007144,0.10036514,0.099873684,0.10016897,0.09988906
12,0.099861175,0.09989167,0.099754274,0.10036168,0.09978358,0.100066766,0.10035419,0.099880256,0.10016135,0.09988535
13,0.09986169,0.099895135,0.099759415,0.100363895,0.09978721,0.1000645,0.100342914,0.09988551,0.1001538,0.099884585
14,0.09986346,0.09989907,0.099763446,0.1003671,0.099792555,0.10006111,0.10033416,0.099891335,0.10014428,0.09988256
