Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09978458,0.09977778,0.099582285,0.10016379,0.09964265,0.10016537,0.100537494,0.09975844,0.10033627,0.10025137
1,0.09983648,0.09983356,0.09966848,0.10017116,0.09969908,0.100121595,0.10044022,0.09979908,0.10027135,0.10015945
2,0.09985932,0.09985134,0.09969597,0.10018492,0.09972608,0.10010722,0.10041708,0.09981656,0.10024679,0.10009474
3,0.099869214,0.09986198,0.09971338,0.100193605,0.09974581,0.10009832,0.10040355,0.09983045,0.10023408,0.10004988
4,0.09987589,0.09986951,0.099725455,0.10020561,0.09976089,0.1000913,0.10039478,0.09984158,0.10021628,0.100018494
5,0.0998792,0.09987251,0.09973285,0.10021377,0.09976937,0.10008722,0.10039428,0.099848434,0.10020533,0.099997
6,0.099882945,0.09987644,0.099740714,0.10021586,0.099777915,0.10007913,0.10038175,0.09985489,0.100206636,0.099983744
7,0.09988519,0.09987969,0.09974619,0.10021884,0.099784486,0.10007401,0.100375004,0.0998596,0.10020236,0.09997466
8,0.09988878,0.09988249,0.0997525,0.10021657,0.09979155,0.100068524,0.10036789,0.09986299,0.10019793,0.099971
9,0.09988965,0.099885814,0.09975942,0.100214876,0.09979873,0.100064665,0.10036216,0.09986661,0.100190364,0.099967726
10,0.099890694,0.09988856,0.09976441,0.10021478,0.09980413,0.100059286,0.10036049,0.099870734,0.100182325,0.099964656
11,0.09989327,0.09989183,0.09977073,0.10020861,0.0998108,0.100057684,0.10035443,0.09987354,0.10017611,0.09996311
12,0.099894546,0.09989287,0.09977408,0.10020727,0.09981453,0.10005465,0.10034911,0.099876486,0.10017375,0.09996267
13,0.09989513,0.09989342,0.0997774,0.100202225,0.09981712,0.10005114,0.10034964,0.099878184,0.10017118,0.09996455
14,0.099897556,0.09989652,0.09978356,0.10019705,0.09982309,0.10004857,0.1003434,0.09988156,0.10016298,0.099965945
