Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09983339,0.100033455,0.09966213,0.099961415,0.099748,0.10023861,0.10050294,0.099517144,0.100435846,0.100067146
1,0.09986841,0.10000477,0.099726744,0.10000759,0.099779196,0.100160316,0.10040831,0.09964258,0.10035979,0.10004192
2,0.09987997,0.09997623,0.09974497,0.10003963,0.09979065,0.10014249,0.100373335,0.099705234,0.10031917,0.10002867
3,0.09988341,0.09995314,0.099747546,0.100070484,0.09979069,0.10013125,0.100357704,0.09974259,0.10030054,0.10002282
4,0.099883,0.09993711,0.099751234,0.10009504,0.099792264,0.10012452,0.10034896,0.09977194,0.10027922,0.10001705
5,0.099882,0.099924184,0.09975399,0.10010744,0.09979414,0.100123554,0.10033422,0.09979431,0.10026502,0.10002094
6,0.09988492,0.099917136,0.09976136,0.1001157,0.09980107,0.100120835,0.10031774,0.09981614,0.100245714,0.10001943
7,0.09988195,0.09990805,0.09976188,0.10012318,0.09980231,0.100122005,0.100309275,0.09982986,0.1002378,0.10002372
8,0.09988373,0.09990452,0.0997665,0.10013,0.09980686,0.10011788,0.100302465,0.099841595,0.10022628,0.10002067
9,0.099884756,0.09990039,0.09977104,0.100128576,0.099812165,0.10011888,0.100290425,0.09985386,0.10021823,0.10002145
10,0.09988372,0.09989753,0.099773474,0.10013071,0.09981481,0.10011934,0.10028022,0.09986145,0.100213714,0.10002499
11,0.099888116,0.099897094,0.09977872,0.10013013,0.09981976,0.100116424,0.10027183,0.09987065,0.10020648,0.10002086
12,0.099887274,0.09989514,0.09978072,0.10012895,0.09982206,0.10011476,0.100273274,0.0998758,0.100200824,0.100021355
13,0.09988753,0.099894434,0.09978341,0.10012786,0.0998242,0.10011434,0.10027157,0.09987984,0.10019309,0.10002381
14,0.09988896,0.09989505,0.09978704,0.10012687,0.099827945,0.10011255,0.1002663,0.09988356,0.10018633,0.100025475
