Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09975353,0.09991272,0.099542074,0.10080543,0.09964219,0.10004868,0.10026347,0.09974702,0.100427054,0.0998579
1,0.09981527,0.099915564,0.09963305,0.10059095,0.09971211,0.100073956,0.10022433,0.09979233,0.10034739,0.099894896
2,0.09983123,0.09990474,0.09966508,0.10047937,0.09973664,0.1000928,0.10024873,0.099812075,0.100309946,0.099919245
3,0.09984078,0.09989566,0.099683784,0.10040923,0.09974908,0.10010052,0.10027433,0.09982309,0.10028172,0.09994181
4,0.099846065,0.09988901,0.09969775,0.10035566,0.09976043,0.10010569,0.1002894,0.099830166,0.10026384,0.09996205
5,0.09985044,0.09988591,0.09970902,0.10031705,0.09976849,0.100106396,0.10030551,0.09983603,0.10024355,0.09997769
6,0.09985214,0.09988274,0.09971757,0.10028788,0.09977621,0.100110374,0.10031183,0.09984212,0.100226596,0.09999233
7,0.0998523,0.09988192,0.099725954,0.100266,0.09978321,0.100110546,0.10032438,0.09984557,0.100210615,0.09999963
8,0.09985297,0.09988049,0.09973342,0.100246966,0.0997905,0.10011329,0.10032651,0.09985075,0.100198105,0.10000695
9,0.099857785,0.099882826,0.09974471,0.100227855,0.09980119,0.10010699,0.10032506,0.09985797,0.10018336,0.10001224
10,0.0998608,0.09988438,0.09975395,0.100213386,0.099807926,0.100101635,0.100325234,0.0998631,0.10017414,0.10001516
11,0.09986137,0.099885374,0.09976038,0.10020195,0.09981399,0.10009999,0.100327,0.09986588,0.10016476,0.10001931
12,0.09986404,0.09988691,0.09976662,0.100191966,0.0998188,0.10009498,0.10032779,0.09986877,0.10015763,0.100022756
13,0.09986626,0.09988824,0.09977204,0.100179896,0.099822804,0.10009746,0.1003225,0.09987101,0.10015244,0.10002744
14,0.09986629,0.09988747,0.099776335,0.10017217,0.09982783,0.10009589,0.100321114,0.09987371,0.10014739,0.10003193
