Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09971278,0.099684104,0.0994586,0.10071206,0.09965946,0.10059222,0.100251086,0.09984895,0.10031636,0.0997646
1,0.09979587,0.09977095,0.09958398,0.10052589,0.099697895,0.100383304,0.10024071,0.09986053,0.100295484,0.09984545
2,0.09982595,0.09980757,0.099635415,0.100442104,0.0997238,0.100283526,0.10025654,0.099859424,0.10027564,0.09989028
3,0.09984296,0.09982944,0.09966573,0.10037794,0.0997396,0.10023348,0.10026949,0.09985676,0.10026724,0.099917516
4,0.099849135,0.099842064,0.0996842,0.10033737,0.09975126,0.10020183,0.10028036,0.0998522,0.10026195,0.09994011
5,0.099853404,0.09985078,0.09969764,0.100304976,0.09976051,0.100182,0.10029209,0.09985028,0.10025346,0.09995483
6,0.09985643,0.09985726,0.09971026,0.10028048,0.09976982,0.10016492,0.10029814,0.0998508,0.10024135,0.09997036
7,0.09986062,0.09986367,0.099723995,0.1002564,0.09978073,0.100152455,0.100298926,0.09985467,0.10023098,0.09997755
8,0.09986486,0.09986791,0.099731274,0.10024279,0.099786475,0.100143634,0.100300334,0.09985483,0.1002239,0.09998406
9,0.099866495,0.09987119,0.0997385,0.100230485,0.09979209,0.10013674,0.100303285,0.09985583,0.10021343,0.09999205
10,0.099869244,0.09987437,0.09974578,0.10021745,0.09979764,0.10012851,0.100302845,0.09985813,0.100208305,0.099997826
11,0.09987051,0.099875666,0.09974894,0.10021129,0.09980043,0.1001237,0.10030636,0.09985889,0.10020001,0.10000426
12,0.099872366,0.09987906,0.0997558,0.1002045,0.099805504,0.1001178,0.100303195,0.09986241,0.10019162,0.100007765
13,0.09987562,0.09988233,0.09976182,0.100197345,0.0998106,0.10011282,0.10030208,0.099863276,0.10018494,0.1000093
14,0.09987738,0.09988357,0.09976583,0.10018966,0.099814214,0.100110054,0.10030172,0.09986553,0.10017824,0.10001385
