Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09898376,0.0992017,0.09795889,0.10138948,0.09828348,0.10029378,0.1036041,0.09880708,0.101886645,0.09959087
1,0.09911792,0.09931321,0.09823579,0.10122487,0.09854097,0.10033386,0.10309843,0.098990746,0.10149121,0.09965323
2,0.09914287,0.09937341,0.09831615,0.10121148,0.098641604,0.10035377,0.10290009,0.09907359,0.10134829,0.09963878
3,0.0991678,0.09940131,0.09835906,0.101205416,0.09869691,0.100344524,0.10281296,0.09911733,0.10126677,0.09962813
4,0.09917474,0.09941085,0.09836919,0.10119616,0.09872021,0.10032797,0.10279754,0.09914437,0.101239026,0.09961982
5,0.09919063,0.09941756,0.09838366,0.10119984,0.098745935,0.100306936,0.10277677,0.09916555,0.1012056,0.09960756
6,0.09921208,0.09942859,0.09840151,0.10117033,0.09876673,0.10028631,0.102758236,0.09917813,0.10119471,0.099603176
7,0.0992171,0.09943898,0.09840287,0.1011512,0.09877496,0.10027189,0.102762505,0.09918659,0.10119636,0.099597424
8,0.09922408,0.09945449,0.09841,0.10114035,0.098786615,0.10026756,0.10272621,0.099198245,0.10119935,0.09959289
9,0.09923834,0.099462256,0.098417535,0.10112686,0.098796874,0.100260615,0.102720246,0.09920399,0.10118776,0.0995857
10,0.09924939,0.09947464,0.0984283,0.10111236,0.0988082,0.10025373,0.1027128,0.09921649,0.101173855,0.09957038
11,0.09926333,0.09948965,0.09843436,0.101098955,0.098814756,0.10024583,0.10269815,0.09922181,0.10116694,0.09956639
12,0.09926358,0.09949512,0.09843484,0.101096526,0.098822735,0.10025786,0.10267181,0.09922832,0.101174474,0.09955468
13,0.09926667,0.099505335,0.09843334,0.1010749,0.0988236,0.10026236,0.1026571,0.09922848,0.101189144,0.09955909
14,0.09927169,0.09951636,0.09843452,0.101059094,0.09882595,0.100270286,0.10262175,0.09923475,0.10120974,0.09955592
