Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.099194385,0.0995137,0.09813986,0.101446494,0.098527856,0.10065477,0.102552816,0.09890169,0.10145869,0.099609844
1,0.09919256,0.09947037,0.098241985,0.101400554,0.098592244,0.10050934,0.10261788,0.09902463,0.10126994,0.09968074
2,0.099181145,0.09944679,0.09827111,0.10141484,0.09862436,0.100445524,0.1026,0.09909191,0.10125219,0.099672206
3,0.09919755,0.099448025,0.09830215,0.101422735,0.098667115,0.100405626,0.102522,0.09913946,0.10122673,0.09966841
4,0.09921213,0.0994496,0.09832214,0.10140117,0.098696716,0.10038988,0.102476835,0.099172644,0.10121756,0.099661395
5,0.09921627,0.09945046,0.09833353,0.10138572,0.09871778,0.100375965,0.102453716,0.099191226,0.101214394,0.09966112
6,0.099228986,0.09945179,0.098343536,0.10137425,0.09873871,0.100363635,0.1024311,0.09920678,0.101224475,0.099636726
7,0.09923439,0.09945258,0.09834576,0.10135151,0.09875158,0.10036345,0.10241446,0.09922187,0.10123764,0.09962674
8,0.09923646,0.09945087,0.09834281,0.10134174,0.098757245,0.10036948,0.10240814,0.09923972,0.101247706,0.09960598
9,0.09924304,0.09945115,0.09834454,0.101322934,0.09876316,0.10037533,0.10240663,0.09924491,0.101247154,0.09960121
10,0.099245265,0.09945972,0.09834835,0.10129806,0.09876837,0.1003782,0.102422945,0.09924389,0.10125152,0.099583656
11,0.099238835,0.09946761,0.0983473,0.10126689,0.098775655,0.100378424,0.10243647,0.09924813,0.101266585,0.09957394
12,0.09924071,0.09946396,0.09834489,0.10124625,0.0987781,0.100383155,0.102449074,0.09925523,0.10128022,0.099558346
13,0.099245474,0.09947405,0.09835018,0.10122376,0.0987872,0.100393765,0.10245514,0.09926267,0.1012599,0.09954803
14,0.09924619,0.09947092,0.098345295,0.10119435,0.09878855,0.10039349,0.10245664,0.099266075,0.10129524,0.09954311
