Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09905663,0.0991442,0.097978406,0.101174556,0.098404974,0.10072682,0.10343426,0.09878936,0.10157063,0.099720344
1,0.09912543,0.09926456,0.098209,0.10125927,0.09854592,0.1005379,0.10281634,0.09898267,0.10148733,0.099771574
2,0.09913602,0.09930789,0.09826551,0.101264685,0.09861268,0.100415304,0.10269462,0.09906045,0.101479374,0.09976356
3,0.0991456,0.09932058,0.0982919,0.10126848,0.09864149,0.10037294,0.10261811,0.099106506,0.10145665,0.099778004
4,0.09914908,0.0993198,0.098298244,0.101252034,0.098660976,0.100349955,0.10261585,0.09913702,0.101430126,0.09978716
5,0.09916413,0.09931987,0.09830829,0.10123703,0.09868334,0.1003571,0.10255278,0.099171355,0.10140826,0.099797875
6,0.09917657,0.09931118,0.09831868,0.10118267,0.098702826,0.10036255,0.10247153,0.09920952,0.10144614,0.09981827
7,0.09918783,0.09930987,0.098338984,0.101122975,0.098731026,0.100357346,0.1024219,0.09924503,0.10145355,0.099831425
8,0.09919357,0.09930618,0.0983493,0.10106804,0.09874879,0.10036178,0.102395356,0.099265866,0.1014639,0.099847086
9,0.09920272,0.09929848,0.09835026,0.10103037,0.098761044,0.10037348,0.102351494,0.09929002,0.101489834,0.099852376
10,0.09922464,0.09930675,0.09836693,0.10100283,0.09877939,0.100361876,0.10233059,0.09930655,0.101480275,0.09984014
11,0.099234916,0.09930671,0.09837185,0.100963145,0.09879188,0.10036425,0.10231557,0.09931851,0.10149187,0.099841386
12,0.099243276,0.099305175,0.09837653,0.10093652,0.09880263,0.100356534,0.10229835,0.099341534,0.101510994,0.099828474
13,0.099254936,0.09931058,0.098382935,0.100913465,0.09881269,0.10034887,0.10228628,0.09934975,0.10151887,0.09982171
14,0.09926332,0.099306196,0.09837919,0.10088817,0.098815575,0.100342356,0.102284886,0.099364504,0.10153444,0.09982153
