Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09914792,0.09946452,0.09812604,0.10154613,0.09842694,0.10038206,0.10307999,0.09903235,0.10102102,0.09977293
1,0.09925466,0.09946632,0.09835932,0.10129972,0.09863415,0.10038505,0.10264205,0.099112906,0.10105121,0.09979486
2,0.09925675,0.099443905,0.09836025,0.101227105,0.09865373,0.1004132,0.102632605,0.09910856,0.10112842,0.099775545
3,0.09925535,0.09943728,0.09835273,0.10121978,0.09866516,0.10042454,0.10262341,0.09910517,0.10115447,0.0997625
4,0.09925722,0.09942533,0.09834222,0.10119804,0.09867337,0.10044146,0.10263042,0.09910942,0.10118237,0.09974024
5,0.09925035,0.099411584,0.09833958,0.10117423,0.09868275,0.10044777,0.1026216,0.099129595,0.101209804,0.09973262
6,0.099254765,0.099403515,0.09832825,0.101156965,0.09868518,0.10045798,0.10262067,0.09913387,0.10124578,0.099713236
7,0.099259704,0.099396065,0.0983196,0.10114012,0.098685995,0.100466006,0.102610074,0.0991407,0.1012836,0.099698246
8,0.09925468,0.099385515,0.098316565,0.101121254,0.09869217,0.10047826,0.102589905,0.09915593,0.101313226,0.09969255
9,0.099260606,0.09938703,0.098318666,0.10110882,0.09870269,0.1004805,0.10254274,0.09917499,0.1013345,0.099689394
10,0.09927124,0.099384785,0.09831747,0.10109036,0.098705634,0.10049756,0.102510855,0.0991878,0.10136379,0.09967064
11,0.09926683,0.099386565,0.098316975,0.10108139,0.098709986,0.10050664,0.10247993,0.09919698,0.101391695,0.09966331
12,0.09926273,0.099386044,0.09831582,0.1010617,0.09870994,0.100509964,0.102455564,0.099207066,0.10142669,0.099664316
13,0.09925878,0.0993856,0.098313645,0.101048335,0.098712124,0.10052083,0.10242302,0.099218346,0.101455934,0.0996636
14,0.099259965,0.099388726,0.09831263,0.10104426,0.09871558,0.100538015,0.10238425,0.099226505,0.10147087,0.09965933
