Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.10936761,0.110003285,0.1081663,0.11212152,0.10868609,0.111689396,0.11855892,0.10916535,0.11224148,0.0
1,0.108714975,0.108045205,0.1071736,0.11107354,0.10796197,0.112755306,0.11684816,0.0,0.11489586,0.11253144
2,0.10916422,0.10775934,0.107111834,0.0,0.10827102,0.11368949,0.11619054,0.11261447,0.11392617,0.11127295
3,0.10866553,0.0,0.10696566,0.11615004,0.10758065,0.11162421,0.114515394,0.11072399,0.11324904,0.11052542
4,0.11038343,0.112076834,0.10855106,0.112883225,0.110065356,0.111159876,0.11429412,0.10995868,0.0,0.1106274
5,0.0,0.1107299,0.108249135,0.114166856,0.10941445,0.110360846,0.11316917,0.10942195,0.1148302,0.10965736
6,0.11313287,0.11273144,0.0,0.11201346,0.1108576,0.10944313,0.113151446,0.10824564,0.11123584,0.10918854
7,0.11077211,0.112481594,0.110346586,0.112236604,0.111030445,0.10998976,0.0,0.108917266,0.11227244,0.11195326
8,0.109211855,0.10971783,0.108274564,0.112229384,0.109449625,0.0,0.115646645,0.11068877,0.11337682,0.11140445
9,0.11076178,0.11157349,0.109232716,0.112175435,0.0,0.11201573,0.114990436,0.1092047,0.11040088,0.1096448
10,0.109648176,0.11078096,0.10855695,0.11008738,0.11059824,0.11159137,0.11817596,0.10865191,0.11190895,0.0
11,0.109634824,0.10862249,0.10780874,0.11144714,0.10975292,0.11455179,0.11399229,0.0,0.1125282,0.111661576
12,0.11088044,0.11030549,0.10867324,0.0,0.110146314,0.11271082,0.114058375,0.11260184,0.11069169,0.10993184
13,0.11072704,0.0,0.10974586,0.11496568,0.11094795,0.11055914,0.11262837,0.10979445,0.111144766,0.10948678
14,0.11080122,0.111508004,0.108809374,0.11339257,0.11036023,0.11110336,0.11268293,0.11022606,0.0,0.11111618
