Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09872036,0.0987366,0.09747203,0.10107742,0.097981654,0.100386605,0.10472754,0.0987579,0.102277674,0.09986231
1,0.09762756,0.096808195,0.09640104,0.10064981,0.09660097,0.09932985,0.109653376,0.097953014,0.10465375,0.100322396
2,0.096855976,0.09592918,0.09592708,0.09919984,0.09621873,0.09969592,0.11254382,0.09796451,0.10250363,0.10316131
3,0.09845567,0.096990444,0.096614346,0.101162635,0.09791444,0.10071874,0.10673918,0.098918036,0.101778984,0.10070754
4,0.10334237,0.10150195,0.09780811,0.10085627,0.10110918,0.09894348,0.10222399,0.09749455,0.09910265,0.09761753
5,0.099401385,0.09831787,0.09654706,0.100910105,0.0986454,0.10541756,0.10115552,0.099270396,0.10093629,0.09939828
6,0.09733997,0.09660426,0.096041985,0.09867134,0.09667555,0.10178689,0.105696835,0.09759232,0.10145602,0.1081348
7,0.095998816,0.09608968,0.09540654,0.09797796,0.09576244,0.09717571,0.12849967,0.09562753,0.0980979,0.09936375
8,0.09696829,0.09666355,0.09595078,0.10031838,0.09758409,0.11029728,0.103134096,0.09950663,0.099574715,0.10000209
9,0.09975941,0.10072072,0.097999625,0.10117954,0.099381715,0.101256624,0.102706745,0.09795996,0.10021081,0.098824754
10,0.09883503,0.09899516,0.096720636,0.10030945,0.09794488,0.099195465,0.10011665,0.0975532,0.110990465,0.09933901
11,0.09640191,0.09701855,0.09598948,0.097976044,0.09620037,0.09661962,0.12633376,0.095690794,0.099022776,0.09874661
12,0.09686318,0.09676545,0.09595988,0.09832764,0.09655994,0.09824717,0.11270162,0.096709795,0.099807054,0.1080583
13,0.09939389,0.10101577,0.09873174,0.09953925,0.103272,0.099467635,0.10334301,0.0974031,0.09839528,0.09943823
14,0.10723563,0.10545643,0.09824539,0.098969154,0.10320005,0.097414695,0.09960679,0.0960727,0.097237326,0.09656186
