Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.098652236,0.09889416,0.09761348,0.10098533,0.09818346,0.10053452,0.1044093,0.09884287,0.10207388,0.09981072
1,0.0979024,0.097314216,0.09675317,0.10113036,0.09702963,0.09949578,0.10871132,0.09818456,0.10333205,0.10014641
2,0.09812001,0.097586274,0.09696001,0.100950316,0.09759077,0.10032763,0.108291544,0.09865408,0.10193174,0.09958764
3,0.09829138,0.09934916,0.09753408,0.10062744,0.09857338,0.10275818,0.10215047,0.09901003,0.10219479,0.09951104
4,0.09946064,0.09902444,0.09747263,0.10288285,0.09851855,0.101860136,0.102414966,0.098912515,0.100660294,0.098792925
5,0.09926595,0.09982379,0.09768309,0.10413587,0.09969889,0.09992648,0.10254507,0.09849105,0.09998008,0.098449685
6,0.098679245,0.09887493,0.09710165,0.10199955,0.09983144,0.10277421,0.10133389,0.1004589,0.10037208,0.0985741
7,0.09740939,0.0975629,0.0967068,0.100116126,0.097683586,0.10045123,0.10447562,0.09883228,0.101163134,0.10559889
8,0.10282554,0.09978353,0.09789322,0.10268052,0.09936081,0.099057704,0.1015734,0.098316,0.09989476,0.09861461
9,0.10157364,0.10385221,0.09893208,0.10046738,0.10064432,0.09859471,0.10113424,0.09730995,0.09946624,0.09802511
10,0.09906811,0.09904716,0.09695977,0.100325555,0.09809679,0.09892566,0.10054014,0.0978255,0.11001187,0.0991994
11,0.09764533,0.09830037,0.0969639,0.09916181,0.09736601,0.09759894,0.11695451,0.096707635,0.09965039,0.099650964
12,0.099968776,0.10270859,0.09905258,0.100129075,0.1007306,0.098204084,0.10440038,0.097205035,0.09916453,0.098436385
13,0.09774484,0.099049814,0.097515754,0.100696325,0.09902487,0.10688179,0.099985,0.0996092,0.10016217,0.09933008
14,0.09967999,0.09980746,0.097941905,0.10457929,0.099061765,0.101401106,0.101148196,0.09864979,0.09929914,0.09843136
