Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.10951936,0.109343156,0.10805128,0.11186416,0.10895017,0.11135045,0.116974205,0.0,0.113548666,0.1103985
1,0.10856705,0.10764812,0.106833376,0.11342418,0.0,0.11215046,0.11687153,0.11147084,0.112568974,0.11046543
2,0.110097796,0.110973105,0.108236484,0.11198317,0.110986605,0.0,0.11404191,0.11093801,0.112395056,0.11034776
3,0.10931431,0.10921282,0.10773513,0.11112259,0.10981272,0.11432948,0.1160683,0.11027254,0.11213211,0.0
4,0.11000693,0.10935188,0.10793299,0.0,0.1097622,0.11341937,0.11567373,0.11042307,0.11196893,0.11146086
5,0.10986724,0.10866149,0.10741394,0.11576466,0.108604886,0.11234571,0.11402138,0.111433014,0.0,0.11188763
6,0.0,0.108769014,0.107661925,0.11549096,0.10887636,0.11140553,0.11328459,0.10983643,0.11457124,0.11010399
7,0.11209112,0.11001907,0.108625285,0.113857254,0.10964976,0.11057319,0.0,0.109381676,0.11348596,0.11231671
8,0.111322954,0.10943867,0.0,0.11198917,0.1093366,0.109930344,0.11829637,0.108503036,0.111006655,0.11017614
9,0.11159176,0.0,0.112040594,0.111494005,0.11342649,0.10988206,0.1131364,0.1081019,0.11104493,0.109281786
10,0.11031304,0.111222304,0.10864496,0.11174182,0.111154065,0.1118997,0.11286121,0.0,0.11232677,0.109836146
11,0.1106947,0.11250777,0.10963778,0.114286885,0.0,0.11020245,0.11387917,0.11049138,0.10959412,0.10870576
12,0.109579265,0.1113426,0.10885368,0.11271618,0.11210623,0.0,0.11207722,0.1120875,0.11102228,0.11021515
13,0.10893503,0.10908348,0.10817623,0.11078839,0.10944524,0.11372284,0.118099466,0.10987519,0.11187409,0.0
14,0.11113037,0.11066081,0.10890971,0.0,0.11045511,0.11251852,0.11459287,0.11042518,0.11043628,0.11087108
