Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.10973656,0.11010721,0.108564705,0.11327379,0.109232955,0.11263681,0.0,0.11031846,0.113929495,0.11220005
1,0.10820758,0.10819267,0.10764532,0.11146304,0.108329676,0.0,0.11989608,0.11083989,0.11345041,0.111975096
2,0.10951792,0.10769877,0.107264556,0.0,0.108575,0.11509364,0.11661637,0.11063293,0.11332207,0.11127871
3,0.10803086,0.10690178,0.1066113,0.116064966,0.10731738,0.111946754,0.11933552,0.11026142,0.11353003,0.0
4,0.0,0.10862991,0.10799174,0.11595721,0.10910488,0.11091723,0.114811145,0.10962102,0.11191223,0.11105486
5,0.112540126,0.108160645,0.1071725,0.113519885,0.10925601,0.114539996,0.11237803,0.0,0.11191992,0.11051278
6,0.11070883,0.10773329,0.107168205,0.116153516,0.10818281,0.112710856,0.11242522,0.11294476,0.0,0.111972444
7,0.11181648,0.109063,0.108360976,0.112923995,0.0,0.11103717,0.113305435,0.11026884,0.11301286,0.11021115
8,0.11090308,0.12216483,0.0,0.10877453,0.11730276,0.10770876,0.11188482,0.106408864,0.107810125,0.10704206
9,0.1114874,0.0,0.117326684,0.10878731,0.12245638,0.10823287,0.10985569,0.10623973,0.108244635,0.10736937
10,0.110906474,0.115527846,0.11078664,0.11193109,0.11185923,0.10920172,0.0,0.10817201,0.10999132,0.11162347
11,0.10889123,0.11003433,0.108625926,0.11242279,0.110559,0.0,0.11520012,0.11155368,0.11111324,0.11159984
12,0.11095885,0.11072616,0.1087529,0.0,0.11053376,0.11450144,0.114079714,0.11011342,0.11044234,0.10989133
13,0.10884485,0.10835958,0.10736881,0.11531051,0.10808115,0.111836545,0.1183051,0.10987417,0.112019345,0.0
14,0.0,0.11212141,0.10995143,0.11455855,0.111068934,0.10963053,0.112859294,0.10868616,0.110394664,0.110728815
