Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09863527,0.09905009,0.097760685,0.10105394,0.0982782,0.10052282,0.10381559,0.09887523,0.10210917,0.09989891
1,0.09824286,0.097778216,0.09684253,0.10106099,0.097298756,0.10076676,0.10381826,0.098675765,0.10540615,0.10010978
2,0.098734125,0.09767622,0.0967305,0.10207998,0.09783466,0.10219993,0.103329904,0.09940725,0.10228148,0.099725835
3,0.09835357,0.09712335,0.09623903,0.103692755,0.09746773,0.103136346,0.101961784,0.10061158,0.102148265,0.09926559
4,0.09895881,0.098022185,0.09687533,0.10374844,0.09867684,0.10040477,0.103630394,0.09994473,0.100601785,0.099136665
5,0.09794375,0.09932493,0.097175516,0.09998451,0.09881519,0.09803221,0.1135673,0.0973283,0.09905517,0.09877312
6,0.09950492,0.10320544,0.098721236,0.10048184,0.10034016,0.09864327,0.10326039,0.09746459,0.09981886,0.09855928
7,0.09967295,0.10556042,0.09930241,0.099934,0.10247545,0.09763357,0.10247254,0.09692319,0.098386526,0.09763896
8,0.097754546,0.09865009,0.09737758,0.09931626,0.09823704,0.09935251,0.10555613,0.09756991,0.100910015,0.105275944
9,0.10402415,0.10138427,0.09864579,0.101103745,0.10020629,0.098421514,0.10077725,0.09763045,0.09952154,0.09828494
10,0.09954127,0.0980854,0.096616946,0.10011844,0.09749862,0.09875308,0.10021426,0.09772009,0.11188099,0.09957074
11,0.09800891,0.097900786,0.09680987,0.100497514,0.09817889,0.106609456,0.10032948,0.09959871,0.10206741,0.099998966
12,0.0998836,0.09917482,0.09755926,0.10353706,0.09870056,0.10175189,0.101431996,0.09871062,0.100398436,0.09885173
13,0.09855885,0.09757325,0.09656248,0.10424141,0.09790199,0.10434984,0.100863814,0.10074238,0.10043322,0.098772794
14,0.09966919,0.10063345,0.098104395,0.103040166,0.100792475,0.099680565,0.10150797,0.09939419,0.09901004,0.09816755
